link,distance,price,date
https://www.vrbo.com/2759045?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833751&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=240&top_cur=USD&userIntent=&selectedRoomType=77093069&selectedRatePlan=0004e64c2515aa9f42f8a26bf9d2e4454883&expediaPropertyId=77093069,0.81,240,2024-12-7
https://www.vrbo.com/2759037?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833751&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=120&top_cur=USD&userIntent=&selectedRoomType=77093038&selectedRatePlan=0004159b5c44588548d68af322e4178217cd&expediaPropertyId=77093038,0.81,120,2024-12-7
https://www.vrbo.com/2759046?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833751&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=359&top_cur=USD&userIntent=&selectedRoomType=77093073&selectedRatePlan=0004707f905013034db6a1aa5539e5eeebfb&expediaPropertyId=77093073,0.81,359,2024-12-7
https://www.vrbo.com/2759042?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833747&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=240&top_cur=USD&userIntent=&selectedRoomType=77093060&selectedRatePlan=00041100da049d8241f9bbb9bf1f24fea35a&expediaPropertyId=77093060,0.81,240,2024-12-7
https://www.vrbo.com/2759041?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833744&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=108&top_cur=USD&userIntent=&selectedRoomType=77093056&selectedRatePlan=000488297ca5cf7145b29564060071333343&expediaPropertyId=77093056,0.81,108,2024-12-7
https://www.vrbo.com/2759038?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833744&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=120&top_cur=USD&userIntent=&selectedRoomType=77093045&selectedRatePlan=0004b9192c1c9acd4e16a9ae87b40a6cf8ed&expediaPropertyId=77093045,0.81,120,2024-12-7
https://www.vrbo.com/2759050?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833737&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=480&top_cur=USD&userIntent=&selectedRoomType=77093081&selectedRatePlan=00040eb9106d5551443a935fc2b603dfc1bb&expediaPropertyId=77093081,0.81,480,2024-12-7
https://www.vrbo.com/2818225?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833740&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=120&top_cur=USD&userIntent=&selectedRoomType=78442236&selectedRatePlan=0004eb9f45c737914445ac6c4ef25e08bf24&expediaPropertyId=78442236,0.81,120,2024-12-7
https://www.vrbo.com/2759036?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833736&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=120&top_cur=USD&userIntent=&selectedRoomType=77093030&selectedRatePlan=000459767ee3a8fe4855baf8d8b59777fc9c&expediaPropertyId=77093030,0.81,120,2024-12-7
https://www.vrbo.com/2818224?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833741&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=120&top_cur=USD&userIntent=&selectedRoomType=78442218&selectedRatePlan=0004640f4d77e0b142e79ff95585df46e9e7&expediaPropertyId=78442218,0.81,120,2024-12-7
